# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-04-03 21:36:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/hyunjimoon/.cmdstan/cmdstan-2.31.0/examples/bernoulli/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 61463
# output
#   file = /Users/hyunjimoon/Dropbox/WINcode/VaccineMisinf/V79/bernoulli-20230403173630_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-7.10063,1,1.05082,2,3,0,7.59469,0.36329
-7.05579,1,1.05082,1,1,0,7.19257,0.355424
-6.98559,1,1.05082,1,1,0,7.10823,0.34196
-6.98559,0.522904,1.05082,1,1,0,7.95074,0.34196
-6.74802,0.843108,1.05082,2,3,0,7.54792,0.249963
-7.61871,0.841575,1.05082,2,3,0,7.7968,0.113097
-8.12772,0.923411,1.05082,1,1,0,8.19303,0.0876941
-9.86783,0.860367,1.05082,2,3,0,9.89813,0.605024
-7.56963,1,1.05082,1,1,0,9.11071,0.427563
-6.79686,1,1.05082,1,1,0,7.27676,0.290354
-6.82452,0.990201,1.05082,1,1,0,6.83791,0.300876
-6.7653,1,1.05082,2,3,0,6.8054,0.273699
-6.7653,0.634011,1.05082,1,3,0,7.80406,0.273699
-7.24843,0.874943,1.05082,1,3,0,7.25033,0.386411
-7.24843,0.207955,1.05082,1,1,0,9.49695,0.386411
-7.94338,0.888001,1.05082,2,3,0,8.09275,0.466617
-6.85464,1,1.05082,1,1,0,7.51982,0.31045
-6.81324,0.696944,1.05082,2,3,0,8.07069,0.296847
-7.05675,0.913466,1.05082,1,1,0,7.06443,0.355596
-7.93763,0.697148,1.05082,1,1,0,8.00687,0.466066
-7.03172,1,1.05082,1,1,0,7.62742,0.350982
-6.83745,1,1.05082,1,1,0,6.97553,0.30517
-6.76218,1,1.05082,2,3,0,6.83998,0.229367
-6.76218,0.972678,1.05082,1,3,0,6.85259,0.229367
-7.18227,0.89173,1.05082,1,3,0,7.24827,0.376516
-6.78563,1,1.05082,1,1,0,7.03631,0.285281
-6.83321,0.983263,1.05082,1,1,0,6.84113,0.303797
-6.83321,0.505115,1.05082,1,1,0,7.87578,0.303797
-6.77535,0.950852,1.05082,2,3,0,7.05624,0.221561
-7.31328,0.732704,1.05082,2,3,0,8.24134,0.39554
-7.31328,0.100508,1.05082,1,1,0,10.6207,0.39554
-6.74863,1,1.05082,1,3,0,7.15734,0.245675
-6.77352,0.99307,1.05082,1,3,0,6.77819,0.27891
-7.25759,0.906326,1.05082,2,3,0,7.32582,0.139832
-10.9599,0.581385,1.05082,2,3,0,11.7724,0.0282293
-8.39804,0.914789,1.05082,1,3,0,10.7915,0.0775139
-8.36155,1,1.05082,1,1,0,8.68104,0.0787887
-9.12002,0.919858,1.05082,1,1,0,9.20665,0.0570532
-8.43441,1,1.05082,1,1,0,9.15316,0.0762711
-7.84288,1,1.05082,2,3,0,8.4256,0.100659
-7.36128,1,1.05082,1,1,0,7.79708,0.131008
-9.40638,0.788361,1.05082,2,3,0,10.7401,0.577819
-6.98428,1,1.05082,1,1,0,8.42791,0.341692
-6.75707,0.714786,1.05082,2,3,0,8.07557,0.267063
-6.75063,1,1.05082,2,3,0,6.7552,0.259093
-6.7848,0.991227,1.05082,1,3,0,6.7849,0.284875
-7.06528,0.532554,1.05082,2,3,0,9.18715,0.357129
-7.06528,0.620387,1.05082,1,1,0,7.81142,0.357129
-6.91868,1,1.05082,1,1,0,7.05695,0.327288
-6.74802,0.913412,1.05082,2,3,0,7.23199,0.249705
-6.74846,0.999885,1.05082,1,3,0,6.74849,0.2463
-6.82253,0.958861,1.05082,2,3,0,6.9494,0.203935
-6.8913,0.981575,1.05082,1,1,0,6.90173,0.187374
-6.75927,0.98835,1.05082,2,3,0,6.97002,0.231575
-6.75888,1,1.05082,1,1,0,6.76244,0.231889
-6.75382,0.858409,1.05082,2,3,0,7.48815,0.263616
-7.36527,0.844603,1.05082,1,3,0,7.3759,0.402511
-7.61892,0.640046,1.05082,1,3,0,8.87227,0.113084
-8.14648,0.920935,1.05082,1,1,0,8.20855,0.0869283
-6.77377,0.87007,1.05082,2,3,0,9.35193,0.222374
-7.94912,0.807452,1.05082,2,3,0,8.23604,0.0955058
-6.75271,0.873424,1.05082,2,3,0,8.52517,0.262235
-6.8158,0.983662,1.05082,1,3,0,6.81594,0.297787
-8.09816,0.616782,1.05082,2,3,0,8.83605,0.0889205
-8.15879,0.991732,1.05082,1,1,0,8.40386,0.0864311
-8.39394,0.823869,1.05082,1,3,0,10.381,0.506269
-6.93736,0.995053,1.05082,1,3,0,8.43172,0.1788
-7.14136,0.952569,1.05082,1,1,0,7.1581,0.15136
-6.96972,1,1.05082,1,1,0,7.12789,0.173502
-7.36677,0.963242,1.05082,2,3,0,7.41203,0.402708
-6.79413,0.819344,1.05082,2,3,0,8.10622,0.213382
-6.76878,1,1.05082,2,3,0,6.78625,0.276024
-6.84965,0.754906,1.05082,2,3,0,7.90856,0.196655
-9.68967,0.507137,1.05082,1,3,0,10.0167,0.594841
-6.92772,1,1.05082,1,1,0,8.56467,0.329408
-6.74921,1,1.05082,1,3,0,6.88912,0.24395
-7.31386,0.86636,1.05082,1,3,0,7.41113,0.134899
-6.88828,0.971928,1.05082,2,3,0,7.61866,0.18799
-7.17075,0.933339,1.05082,1,1,0,7.17423,0.148248
-6.75953,0.826129,1.05082,2,3,0,8.48444,0.269274
-6.75953,0.866882,1.05082,1,3,0,7.09495,0.269274
-6.92475,0.759108,1.05082,2,3,0,7.76836,0.328715
-7.24775,0.881478,1.05082,1,1,0,7.28844,0.386313
-7.14842,0.854798,1.05082,1,3,0,7.90116,0.150599
-7.01155,0.95933,1.05082,2,3,0,7.64728,0.167312
-7.49163,0.900888,1.05082,1,1,0,7.49539,0.121344
-6.76085,0.917409,1.05082,2,3,0,7.77289,0.270369
-8.20749,0.57185,1.05082,2,3,0,9.58232,0.0845032
-7.31203,1,1.05082,1,1,0,8.05245,0.135055
-6.79395,0.982817,1.05082,2,3,0,7.44929,0.213449
-6.86342,0.953226,1.05082,2,3,0,7.08795,0.312992
-7.28434,0.850287,1.05082,1,1,0,7.30132,0.391528
-7.00009,0.930048,1.05082,1,3,0,7.67068,0.168943
-6.90049,1,1.05082,1,1,0,6.99859,0.185546
-7.25032,0.90988,1.05082,1,3,0,7.51545,0.386684
-7.17026,1,1.05082,1,1,0,7.37029,0.374646
-7.17026,0.519091,1.05082,1,1,0,8.17444,0.374646
-7.17026,0.820542,1.05082,1,1,0,7.58102,0.374646
-7.34165,0.977607,1.05082,2,3,0,7.48687,0.399378
-7.38134,0.743271,1.05082,1,3,0,8.41342,0.129428
-7.72443,0.940168,1.05082,1,1,0,7.78991,0.106937
-7.46082,1,1.05082,1,1,0,7.77191,0.123506
-6.96819,1,1.05082,2,3,0,7.35149,0.173741
-6.80318,0.953204,1.05082,2,3,0,7.48461,0.210092
-6.75054,0.997284,1.05082,1,3,0,6.80197,0.258933
-6.75054,0.704093,1.05082,1,3,0,7.59479,0.258933
-7.0973,0.906641,1.05082,1,3,0,7.1835,0.15633
-7.41104,0.93605,1.05082,1,1,0,7.43942,0.127154
-6.78884,1,1.05082,1,3,0,7.28482,0.21547
-7.24395,0.884067,1.05082,1,3,0,7.35902,0.385761
-8.2877,0.645974,1.05082,1,1,0,8.42244,0.497482
-7.5082,1,1.05082,1,1,0,8.20925,0.420377
-7.01932,1,1.05082,2,3,0,7.37994,0.348628
-6.81845,0.982025,1.05082,1,3,0,7.109,0.205152
-7.50484,0.741637,1.05082,2,3,0,8.42215,0.419975
-7.90916,0.843283,1.05082,1,1,0,8.17848,0.463317
-7.07285,1,1.05082,1,1,0,7.64263,0.358475
-7.18577,0.956082,1.05082,1,1,0,7.29622,0.377055
-6.86419,0.973095,1.05082,1,3,0,7.33483,0.193203
-8.61216,0.721732,1.05082,1,3,0,8.86245,0.0705682
-8.94518,0.965399,1.05082,1,1,0,9.16015,0.0613021
-8.28041,1,1.05082,1,1,0,8.96777,0.0817287
-7.81497,1,1.05082,1,1,0,8.30946,0.102085
-7.49845,1,1.05082,1,1,0,7.84863,0.120875
-6.75541,0.978713,1.05082,1,3,0,7.39644,0.235019
-7.0959,0.922446,1.05082,1,3,0,7.12565,0.156495
-6.86531,1,1.05082,1,1,0,7.04189,0.192948
-7.01633,0.956774,1.05082,1,3,0,7.20802,0.348053
-6.86129,1,1.05082,1,1,0,6.98449,0.312383
-9.28707,0.376189,1.05082,1,1,0,9.28759,0.570318
-7.07983,1,1.05082,1,1,0,8.41721,0.359701
-7.16158,0.968044,1.05082,1,1,0,7.27739,0.37328
-6.84069,1,1.05082,2,3,0,7.18365,0.198924
-6.95492,0.970457,1.05082,1,1,0,6.96408,0.175862
-6.9649,0.999179,1.05082,2,3,0,7.01888,0.17426
-6.88317,1,1.05082,1,1,0,6.96641,0.18905
-7.00724,0.969167,1.05082,1,1,0,7.02362,0.167921
-6.74901,0.959774,1.05082,2,3,0,7.24644,0.244465
-7.09654,0.922745,1.05082,2,3,0,7.2335,0.15642
-6.81684,1,1.05082,1,3,0,7.02346,0.205643
-6.75061,0.996736,1.05082,1,3,0,6.81427,0.259064
-6.86991,0.949036,1.05082,2,3,0,6.99007,0.191912
-6.86991,0.84035,1.05082,1,3,0,7.68928,0.191912
-7.05199,0.935197,1.05082,2,3,0,7.41058,0.161887
-7.01398,1,1.05082,1,1,0,7.10442,0.166972
-8.22255,0.749737,1.05082,1,3,0,8.71125,0.491936
-6.74855,1,1.05082,1,3,0,7.75983,0.245941
-6.96443,0.859742,1.05082,2,3,0,7.38981,0.337553
-6.7518,0.934248,1.05082,2,3,0,7.22378,0.239238
-7.25976,0.882663,1.05082,1,3,0,7.33027,0.139635
-9.15219,0.786,1.05082,2,3,0,9.79797,0.0563118
-9.39925,0.978727,1.05082,1,1,0,9.69043,0.050993
-8.75815,1,1.05082,1,1,0,9.48004,0.0662984
-7.0142,0.948747,1.05082,1,3,0,9.49149,0.347642
-6.77417,1,1.05082,1,1,0,6.92791,0.279283
-6.77417,0.360011,1.05082,1,3,0,9.15042,0.279283
-6.75584,1,1.05082,1,1,0,6.76889,0.26584
-6.92297,0.956053,1.05082,1,3,0,6.92386,0.328299
-6.92297,0.811369,1.05082,1,1,0,7.27628,0.328299
-6.7872,1,1.05082,1,1,0,6.87818,0.286026
-6.88964,0.963887,1.05082,1,1,0,6.89504,0.320096
-6.88964,0.652354,1.05082,1,1,0,7.5483,0.320096
-7.32703,0.843484,1.05082,1,1,0,7.35164,0.397411
-6.95658,1,1.05082,2,3,0,7.25787,0.175593
-6.77799,0.83657,1.05082,2,3,0,8.01934,0.281402
-9.65396,0.458011,1.05082,1,3,0,9.67102,0.592753
-7.18451,1,1.05082,1,1,0,8.69424,0.376861
-6.76157,1,1.05082,1,3,0,7.11759,0.229808
-6.76157,0.597044,1.05082,1,3,0,8.18312,0.229808
-6.75159,1,1.05082,1,1,0,6.75869,0.239547
-6.74823,0.997862,1.05082,2,3,0,6.76255,0.247461
-6.76192,0.996203,1.05082,1,3,0,6.76421,0.271219
-6.89249,0.955282,1.05082,1,1,0,6.89251,0.320832
-6.96061,0.974619,1.05082,1,1,0,7.00491,0.336736
-7.553,0.901472,1.05082,2,3,0,7.5966,0.425642
-8.7987,0.58884,1.05082,1,1,0,9.04899,0.537229
-7.40983,1,1.05082,2,3,0,8.39843,0.408271
-6.75677,1,1.05082,1,3,0,7.26375,0.23371
-6.74903,0.998895,1.05082,2,3,0,6.76127,0.255636
-6.75047,0.99953,1.05082,1,1,0,6.75063,0.258807
-8.26277,0.659513,1.05082,1,3,0,8.80194,0.0823879
-9.03581,0.915304,1.05082,1,1,0,9.11236,0.0590521
-9.0467,0.999656,1.05082,2,3,0,9.41676,0.0587888
-8.05674,1,1.05082,1,1,0,8.9565,0.0906816
-7.285,1,1.05082,2,3,0,7.92364,0.137383
-7.13103,0.9515,1.05082,2,3,0,7.8295,0.368365
-7.13103,0.273797,1.05082,1,1,0,8.98286,0.368365
-7.08609,1,1.05082,1,1,0,7.23482,0.360792
-8.46084,0.416092,1.05082,1,3,0,10.0276,0.0753849
-6.79092,0.93506,1.05082,1,3,0,8.34253,0.214632
-6.85643,0.993118,1.05082,2,3,0,6.85984,0.310977
-7.04398,0.473245,1.05082,2,3,0,9.82202,0.353265
-6.76559,0.99629,1.05082,1,3,0,7.02277,0.227068
-6.74975,0.996989,1.05082,2,3,0,6.78368,0.242689
-6.74869,0.999137,1.05082,2,3,0,6.75389,0.245433
-10.2487,0.470592,1.05082,2,3,0,10.3441,0.0367378
-9.22877,1,1.05082,1,1,0,10.2581,0.0545939
-9.21283,1,1.05082,1,1,0,9.61156,0.054946
-6.94253,0.95786,1.05082,1,3,0,9.07832,0.177919
-6.7802,0.838632,1.05082,2,3,0,7.97911,0.282565
-6.82659,0.983762,1.05082,1,1,0,6.83286,0.301586
-6.74874,1,1.05082,1,3,0,6.80348,0.254757
-7.06217,0.917607,1.05082,1,3,0,7.12813,0.160595
-6.7498,0.994873,1.05082,1,3,0,7.00597,0.242598
-6.77075,0.993977,1.05082,1,3,0,6.77739,0.277259
